z,xv,yv,zv,label
-0.0046986,0.00060933,-4.5485e-05,0.00048965,1
-0.0046886,-0.00023987,0.00020096,0.00011953,1
-0.0046783,0.00073959,0.00011108,0.00012336,1
-0.0046941,-0.0013336,-5.5201e-05,-0.00018977,1
-0.0047161,0.00087671,-0.0016574,-0.00026488,1
-0.0047301,0.00020872,-0.00054425,-0.0001692,1
-0.0047385,-0.0005308,0.00058779,-0.00010013,1
-0.0047113,0.00016262,0.00040485,0.0003255,1
-0.0046967,-0.0024122,-0.0011829,0.00017382,1
-0.0047056,0.0027198,0.0015518,-0.0001073,1
-0.0047013,-7.988e-05,0.0011493,5.3063e-05,1
-0.0047007,0.00034856,-0.00091651,7.4046e-06,1
-0.0047262,-0.00089072,0.00028713,-0.00029924,1
-0.0047021,0.0001079,-0.00042982,0.00028816,1
-0.0047452,0.0018292,0.0016058,-0.0005198,1
-0.0047361,-0.00067589,-0.0018046,0.00010867,1
-0.0047442,-0.00097508,-0.00034852,-9.7971e-05,1
-0.0047773,-0.00020929,0.00039967,-0.00039675,1
-0.0047805,0.002302,0.00090654,-3.8389e-05,1
-0.0047429,-0.00091468,-0.00020362,0.00045042,1
-0.0047355,-0.00042326,0.00048933,8.931e-05,1
-0.0046836,-0.0015038,0.00013526,0.00061932,1
-0.0046771,0.0005709,0.00021719,7.9447e-05,1
-0.0046436,0.00053384,0.00024811,0.00040752,1
-0.004634,-0.00037007,-0.0010375,0.00011289,1
-0.0046454,-0.00020697,-0.00041856,-0.00013705,1
-0.0046503,0.0019465,-0.0005272,-5.8809e-05,1
-0.0046799,-0.0027134,0.00071433,-0.00035564,1
-0.0047108,0.00067821,-0.00065229,-0.00037214,1
-0.0047125,-0.00064949,-0.00011898,-2.0556e-05,1
-0.0047175,0.0008939,0.00044923,-5.9514e-05,1
-0.0047046,0.0011129,0.00029735,0.00015523,1
-0.0046898,0.0001973,0.0003674,0.00017769,1
-0.0046811,0.0011152,0.00039773,0.00010389,1
-0.0046535,-0.0016397,-0.0012932,0.00033932,1
-0.0047294,-0.0008165,0.00049657,-0.00090992,1
-0.0047698,0.0012841,0.0010649,-0.00047412,1
-0.0048302,9.4806e-05,-0.0010703,-0.00072272,1
-0.0048498,-0.0017493,-0.00083731,-0.0002431,1
-0.0048135,0.0017069,0.00049594,0.00042925,1
-0.0047959,-0.00011498,-0.00017428,0.00021058,1
-0.0047605,-0.0013538,-0.00041109,0.0004236,1
-0.0047542,0.001513,0.00076453,7.5579e-05,1
-0.0047539,-0.00016851,0.00020058,3.7146e-06,1
-0.0047646,-0.0027536,-0.00034476,-0.00012872,1
-0.0047551,0.0024997,-5.6374e-05,0.00011451,1
-0.0047056,-0.00035282,-0.00035194,0.00060327,1
-0.0046974,0.00086026,7.1229e-05,9.9999e-05,1
-0.0046772,-0.00075697,-0.001479,0.00023637,1
-0.0047001,-0.00013608,8.1984e-05,-0.00027625,1
-0.0047559,0.00010376,0.00108,-0.00066754,1
-0.0047081,-0.0013662,-0.0012817,0.00057403,1
-0.0047079,0.00093587,0.0016868,1.3611e-06,1
-0.0046718,-0.00043669,-0.00056853,0.00042987,1
-0.004644,0.00035931,0.00083007,0.0003346,1
-0.004675,-0.00035863,-0.0002967,-0.00037179,1
-0.0046798,2.1757e-05,-0.00058992,-5.7144e-05,1
-0.0047501,0.0012349,0.00081284,-0.0008462,1
-0.0047947,0.00040975,0.00026532,-0.00054627,1
-0.0048067,-0.0020387,-0.0010207,-0.00014068,1
-0.0047738,0.0011945,0.00091522,0.00039586,1
-0.004765,8.1705e-05,-0.00030057,0.00010504,1
-0.0047681,-0.001345,-0.00079291,-3.6426e-05,1
-0.0047827,0.00048587,0.0013421,-0.00017889,1
-0.0047692,-1.2932e-05,4.8721e-06,-1.5226e-06,1
-0.0047635,-0.00021919,0.0018572,6.729e-05,1
-0.0047553,-0.00058711,-0.00069039,9.8368e-05,1
-0.0047461,-0.00053593,-0.00013122,0.00011069,1
-0.0047111,-0.00035879,-0.0017516,0.00041885,1
-0.0047241,0.00044186,-0.00012679,-0.00015669,1
-0.0047548,-1.1607e-05,0.0014393,-0.000375,1
-0.0047786,0.00040863,-0.00031136,-0.00027898,1
-0.0047694,0.00056613,-0.00055414,0.00011014,1
-0.0047673,-0.001046,0.00021994,2.5404e-05,1
-0.0047075,1.6066e-05,-0.00011227,0.00071632,1
-0.0047035,-0.0020048,4.4785e-05,4.7288e-05,1
-0.0046697,0.0017712,-0.00032996,0.00040996,1
-0.0046997,0.00031178,0.0010936,-0.00035564,1
-0.0047111,-0.00014596,-0.0002805,-0.00013723,1
-0.0047352,-9.9614e-06,-5.3994e-05,-0.00029069,1
-0.0047962,0.0012702,-0.00049201,-0.00072857,1
-0.004838,-0.001161,-0.00042433,-0.00050253,1
-0.0048486,-0.0010842,-0.0007801,-0.000128,1
-0.0048501,0.001429,0.0010341,-1.7204e-05,1
-0.0048214,0.00084311,-0.00052092,0.0003444,1
-0.0047763,-0.0021348,-0.0008315,0.00054195,1
-0.0047742,0.00044928,0.0016705,2.4585e-05,1
-0.0048112,0.00039757,0.0010147,-0.00044498,1
-0.0048093,0.00086352,0.00033433,2.301e-05,1
-0.0047977,-0.0016729,-3.9267e-05,0.00013797,1
-0.0047858,0.0013009,-0.0013054,0.00014241,1
-0.0047707,-0.00027128,-0.00095427,0.00018381,1
-0.0047615,0.00017195,0.00013447,0.0001087,1
-0.0047616,-0.00099234,-0.0014623,-7.3851e-07,1
-0.0047548,0.0010394,0.0013958,8.2608e-05,1
-0.0047457,-0.0010889,-0.00042339,0.00010757,1
-0.0047296,-0.00039172,0.00097058,0.00019386,1
-0.0046898,0.0010885,0.00053333,0.0004763,1
-0.004671,-0.0015807,0.00042058,0.00022608,1
-0.0046628,0.0019782,8.8641e-05,0.00010033,1
-0.004706,0.00081414,0.00051255,-0.00052396,1
-0.0047358,-0.0013857,-0.00076981,-0.00035238,1
-0.0047454,-0.00021403,-0.0010364,-0.00011352,1
-0.0047803,0.0014741,6.8383e-05,-0.00042214,1
-0.0048139,-0.0011776,-0.0001646,-0.00040028,1
-0.0047893,0.00028451,0.00016863,0.00029585,1
-0.0047697,-0.00055925,0.00055494,0.00023554,1
-0.0047681,0.00084098,0.00040753,1.9425e-05,1
-0.0047495,0.001804,0.0012517,0.00022436,1
-0.0047452,-0.002125,-0.00041439,5.0805e-05,1
-0.0047375,0.00034339,-0.00052356,9.6764e-05,1
-0.0047646,0.00060708,5.8808e-05,-0.00031899,1
-0.0047858,-0.00042068,-0.00031038,-0.00025762,1
-0.0047789,-0.00018244,-0.00084474,8.1638e-05,1
-0.0047682,-0.0010067,-0.00057545,0.0001272,1
